AC018647.3,2,6,8,1,7,3,0,1,5,5,6,7,3,3,4,11
AC018705.5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
AC018742.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC018799.1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
AC019048.1,6,25,20,5,2,5,1,2,3,1,5,6,14,7,6,3
AC019118.2,1,3,4,0,0,0,0,1,1,0,0,5,0,1,0,0
AC020571.3,17,5,9,1,11,0,10,13,7,14,23,5,2,4,4,8
AC022007.5,9,12,11,2,6,10,9,5,2,10,2,12,7,6,10,18
AC022173.2,8,12,8,4,1,3,8,25,5,6,19,18,7,8,13,9
AC022311.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024592.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AC027269.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AC037193.1,2,1,2,0,3,1,7,10,0,3,7,3,2,1,4,2
AC058791.1,319,60,308,44,48,1200,171,259,143,1015,1249,271,233,497,242,265
AC068831.10,5,5,3,2,1,4,5,5,2,1,1,3,3,6,6,2
AC068858.1,5,0,4,2,1,0,0,0,0,2,0,4,0,0,0,0
AC069277.1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0
AC072062.1,10,32,6,17,6,10,4,0,8,7,2,14,2,16,7,19
AC073128.10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AC073133.1,0,6,2,2,0,3,3,0,0,1,4,1,1,0,1,0
AC073283.4,4,14,1,1,1,0,3,1,0,2,0,3,1,4,0,4
AC073321.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC073628.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC074138.3,29,30,38,26,22,24,27,26,14,15,42,13,9,14,16,31
AC074286.1,90,103,152,108,80,159,59,95,87,46,140,63,86,65,96,100
AC074289.1,11,34,38,9,6,21,21,69,20,26,34,6,9,23,15,7
AC078941.1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
AC079117.1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0
AC079145.4,4,1,1,2,2,3,2,0,1,1,3,2,5,1,2,3
AC079586.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC079610.2,1,2,0,0,0,2,2,5,0,2,0,1,0,0,0,1
AC079776.3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
AC087859.1,1,9,3,0,0,2,0,0,1,4,2,3,2,0,2,1
AC090044.1,9,309,23,12,4,3,3,110,13,129,49,6,0,22,2,21
AC090505.6,1,0,0,2,2,0,0,0,1,0,0,0,1,0,3,0
AC091729.9,112,45,159,104,34,43,63,124,93,51,92,100,64,140,81,84
AC091878.1,8,32,18,54,25,57,19,36,18,3,8,23,10,16,14,8
AC091969.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AC092295.7,27,3,48,20,15,42,24,31,24,18,26,22,27,27,11,39
AC093375.1,1,118,16,0,2,28,3,1,4,85,3,1,0,3,0,0
AC093391.2,17,18,25,43,4,33,18,12,23,22,18,5,19,18,18,22
AC093590.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AC093690.1,39,81,28,15,18,78,25,77,15,47,49,62,36,26,58,31
AC095067.1,4,0,0,10,2,0,0,0,0,3,0,1,0,0,0,1
AC096559.1,0,5,1,3,15,3,1,2,1,1,1,0,1,0,3,0
AC097468.4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
AC097500.2,19,39,28,19,9,43,4,39,13,59,26,24,22,23,52,15
AC097662.2,28,30,43,19,13,44,14,35,18,11,22,17,51,17,27,31
AC098823.3,0,2,5,0,0,0,1,3,1,1,2,0,0,3,2,2
AC099342.1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
AC104024.1,0,0,1,0,2,0,0,2,0,0,2,0,0,3,0,3
AC104134.2,0,1,2,1,3,20,6,3,0,11,7,5,5,1,4,0
AC104653.1,18,9,15,3,10,9,17,43,17,21,40,9,9,12,18,6
AC104654.1,0,0,0,0,2,1,0,0,0,2,1,8,0,1,0,0
AC104654.2,3,2,10,23,5,9,1,6,5,3,5,10,4,6,13,10
AC104655.2,3,3,10,0,2,4,0,4,3,3,6,5,6,3,3,2
AC104777.2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
AC104777.4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AC104820.2,8,10,23,6,19,0,17,111,10,19,36,0,0,20,10,1
AC105053.3,6,2,25,9,3,12,2,24,6,5,13,2,0,11,3,5
AC105253.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC105339.1,0,2,0,1,0,0,0,2,0,0,0,0,0,2,0,0
AC105760.3,14,7,9,5,4,9,4,17,3,4,4,9,5,7,15,1
AC107070.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
AC107622.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC107622.1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC108142.1,1,4,3,0,0,1,0,2,0,0,0,0,0,2,0,1
AC109828.1,4,6,6,3,4,9,1,19,4,11,8,18,7,3,11,1
AC113607.2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
AC116035.1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
AC125421.1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
AC131097.3,1,2,0,0,0,0,4,4,0,0,7,0,2,0,5,2
AC131097.3-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC131097.3-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC131097.3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC136896.1,0,8,2,2,0,8,0,3,0,3,3,3,0,4,2,0
AC137932.6,24,11,27,85,33,17,76,57,60,36,24,17,122,28,20,38
AC144449.1,25,12,23,24,12,23,26,11,17,28,34,14,32,17,12,29
AC145110.1,98,10,155,11,155,41,1,9,129,146,84,1,14,8,249,0
AC147651.4,19,45,26,24,33,27,17,37,44,13,41,7,16,24,11,14
AC159540.1,5,35,11,2,3,3,1,10,3,8,8,11,2,9,8,0
AC159540.1-2,4,9,2,3,6,3,1,3,1,6,8,6,3,2,8,0
AC226118.1,54,33,10,87,40,102,36,21,15,15,37,23,46,10,25,20
ACAA1,732,220,2714,508,926,535,2252,743,996,1137,1147,498,538,3251,374,2124
ACAA2,805,956,3716,1409,2923,1340,3688,946,2166,1740,1451,532,986,6114,490,2904
ACACA,103,12,99,29,27,37,47,27,58,20,37,21,41,35,28,154
ACACA-2,0,30,18,21,19,81,17,50,60,8,56,3,51,41,9,9
ACACB,1756,1035,4049,1576,944,3220,3128,3854,1925,2350,2076,2086,1627,4486,1132,3267
ACAD10,2289,545,1648,1179,631,945,1558,1003,1676,650,1570,700,2271,1432,1046,2555
ACAD11,33,40,70,28,55,20,113,33,34,59,89,47,21,133,32,86
ACAD8,419,156,625,505,413,431,490,368,526,188,375,244,440,506,247,656
